example,N,lambda,m,x,error,log10_error
6.2,160,20,5,-0.6864180607193161,1.72570401890744904e-5,-4.7630336894887246
6.2,160,20,5,-0.669046203420652252,2.90511476497402019e-6,-5.53683670636816567
6.2,160,20,5,-0.651079726099749245,1.30938624303305955e-5,-4.88293222627198428
6.2,160,20,5,-0.632518445412219007,2.93600498883925546e-5,-4.53224321080517723
6.2,160,20,5,-0.613363288869187824,4.43352461718265668e-5,-4.35325087576879144
6.2,160,20,5,-0.593616324368598238,5.63634182259537762e-5,-4.24900267646307895
6.2,160,20,5,-0.573280787365337421,6.37867459665360372e-5,-4.19526955249483837
6.2,160,20,5,-0.552361105558018625,6.50559549516184129e-5,-4.18671294377173932
6.2,160,20,5,-0.530862920976363103,5.88533124288143758e-5,-4.2302290888261257
6.2,160,20,5,-0.508793109359690574,4.42262727628155467e-5,-4.35431965992386296
6.2,160,20,5,-0.486159796724007817,2.07293849855013831e-5,-4.68341358268014884
6.2,160,20,5,-0.462972373022567054,1.14282728166678132e-5,-4.94201940065198484
6.2,160,20,5,-0.439241502812526288,5.1233180915298055e-5,-4.29044867923833228
6.2,160,20,5,-0.414979132848459585,9.67183050107863476e-5,-4.01449132309551272
6.2,160,20,5,-0.390198496531911756,1.44818396680729549e-4,-3.83917626500741001
6.2,160,20,5,-0.364914115154943111,1.91233354692481593e-4,-3.71843635633019838
6.2,160,20,5,-0.339141795884639083,2.30303418375800189e-4,-3.63769961578857272
6.2,160,20,5,-0.312898626444838377,2.54899971002965609e-4,-3.59363021393541174
6.2,160,20,5,-0.286202966460832995,2.5633565536711754e-4,-3.59119098081462261
6.2,160,20,5,-0.259074435442484077,2.24297341563232018e-4,-3.64917587376995599
6.2,160,20,5,-0.231533897391048414,1.46805236322806357e-4,-3.83325845351025615
6.2,160,20,5,-0.203603442024990344,1.0201084201918294e-5,-4.99135366766091243
6.2,160,20,5,-0.175306362630130745,2.00832014175415976e-4,-3.69716705611119201
6.2,160,20,5,-0.146667130549626599,5.03216148007020268e-4,-3.29824543100114323
6.2,160,20,5,-0.117711366339448484,9.1539006799939139e-4,-3.03839380398700069
6.2,160,20,5,-0.0884658076251963939,0.00145718479043937772,-2.83648537041304981
6.2,160,20,5,-0.0589582737062334818,0.00214966323765213278,-2.66762957054241279
6.2,160,20,5,-0.0292176269631895995,0.00301492455466348694,-2.52072355115344536
6.2,160,20,5,7.262688651411763e-4,0.00407587450017058942,-2.38977919677613524
6.2,160,20,5,0.0308425934596451388,0.005355964073262113,-2.2711623448109523
6.2,160,20,5,0.0610996176679372521,0.00687889928725856052,-2.16248104893214756
6.2,160,20,5,0.0914647541255973648,0.00866832571956740591,-2.06206477806829787
6.2,160,20,5,0.121904610647329838,0.0107474921325892123,-1.96869286412436255
6.2,160,20,5,0.152385046274792897,0.0131388980570991127,-1.88144105698241033
6.2,160,20,5,0.18287122985914447,0.0158639307389995317,-1.79958919490310532
6.2,160,20,5,0.213327701047970601,0.0189424972575258485,-1.72256276695521206
6.2,160,20,5,0.243718433538229084,0.0223926579148651072,-1.64989435442229942
6.2,160,20,5,0.274006900449181995,0.0262302671635377882,-1.58119728596094892
6.2,160,20,5,0.30415614166203242,0.0304686283718659289,-1.5161470962839875
6.2,160,20,5,0.334128832966147828,0.0351181686260433731,-1.45446814015607641
6.2,160,20,5,0.363887356845368776,0.0401861395301292498,-1.3959237121779568
6.2,160,20,5,0.393393874731989148,0.0456763495969198115,-1.34030861170753372
6.2,160,20,5,0.422610400550573643,0.0515889333310836816,-1.28744345164236288
6.2,160,20,5,0.451498875368868932,0.0579201615026825028,-1.23717023583670309
6.2,160,20,5,0.48002124296868428,0.0646622964089598805,-1.18934887596897326
6.2,160,20,5,0.508139526145781498,0.0718034951425312366,-1.14385441530964058
6.2,160,20,5,0.535815903544536807,0.0793277630444978047,-1.10057479216697151
6.2,160,20,5,0.563012786830431172,0.0872149586427367194,-1.05940902081460261
6.2,160,20,5,0.589692898001301195,0.0954408504807302744,-1.0202656992890722
6.2,160,20,5,0.615819346636748667,0.103977225352956181,-0.983061775957817327
6.2,160,20,5,0.641355706884169907,0.112792046600628287,-0.947721523040958196
6.2,160,20,5,0.666266093979531212,0.121849660306716138,-0.914175677206580309
6.2,160,20,5,0.690515240101286724,0.13111104648000867,-0.882360716218320345
6.2,160,20,5,0.714068569356711035,0.140534111650358335,-0.852218247264794349
6.2,160,20,5,0.73689227170139973,0.150074018724041662,-0.823694487646432605
6.2,160,20,5,0.758953375594773914,0.159683549479020584,-0.796739822361691957
6.2,160,20,5,0.780219819197104766,0.169313494720928867,-0.771308426124542139
6.2,160,20,5,0.800660519916844292,0.17891306687443608,-0.747357939677306682
6.2,160,20,5,0.820245442120900162,0.188430329650371506,-0.724849192096972047
6.2,160,20,5,0.838945662824915004,0.197812639402442315,-0.703745962246613413
6.2,160,20,5,0.856733435185591328,0.207007092861384219,-0.684014773684210567
6.2,160,20,5,0.873582249622628118,0.2159609760991788,-0.665624718274655374
6.2,160,20,5,0.889466892403887774,0.224622209819689924,-0.648547304507068528
6.2,160,20,5,0.904363501533974897,0.232939786381266762,-0.632756327136774529
6.2,160,20,5,0.918249619793461696,0.240864194317081756,-0.618227755278799398
6.2,160,20,5,0.931104244783517589,0.248347826515339723,-0.604939636500346297
6.2,160,20,5,0.942907875838670157,0.255345368639270169,-0.592872014811179899
6.2,160,20,5,0.953642557678816954,0.261814164791933156,-0.582006860747218503
